Time(s),Lead3ElectricPotential(mV),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),OxygenSaturation,RespirationRate(1/min),SkinTemperature(degC),Carina-CarbonDioxide-PartialPressure(mmHg)
183.62,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,20.9
183.64,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,21.2
183.66,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,21.4
183.68,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,21.7
183.70,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,21.9
183.72,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,22.1
183.74,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,22.3
183.76,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,22.5
183.78,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,22.7
183.80,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,22.9
183.82,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,23.1
183.84,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,23.2
183.86,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,23.4
183.88,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,23.5
183.90,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,23.7
183.92,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,23.8
183.94,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,24.0
183.96,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,24.1
183.98,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,24.2
184.00,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,24.4
184.02,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,24.5
184.04,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,24.6
184.06,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,24.7
184.08,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,24.8
184.10,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,24.9
184.12,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,25.0
184.14,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,25.1
184.16,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,25.2
184.18,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,25.3
184.20,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,25.3
184.22,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,25.4
184.24,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,25.5
184.26,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,25.6
184.28,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,25.6
184.30,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,25.7
184.32,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,25.8
184.34,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,25.8
184.36,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,25.9
184.38,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,26.0
184.40,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,26.0
184.42,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,26.1
184.44,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,26.1
184.46,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,26.2
184.48,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,26.2
184.50,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,26.3
184.52,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,26.3
184.54,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,26.4
184.56,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,26.4
184.58,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,26.5
184.60,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,26.5
184.62,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,26.5
184.64,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,26.6
184.66,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,26.6
184.68,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,26.7
184.70,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,26.7
184.72,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,26.7
184.74,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,26.7
184.76,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,26.8
184.78,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,26.8
184.80,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,26.8
184.82,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,26.9
184.84,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,26.9
184.86,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,26.9
184.88,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,26.9
184.90,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,27.0
184.92,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,27.0
184.94,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,27.0
184.96,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,27.0
184.98,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,27.1
185.00,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,27.1
185.02,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,27.1
185.04,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,27.1
185.06,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,27.1
185.08,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.10,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.12,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.14,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.16,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.18,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.20,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,27.2
185.22,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.24,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.26,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.28,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.30,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.32,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.34,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.36,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.38,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,27.4
185.40,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,27.4
185.42,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,27.4
185.44,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,27.4
185.46,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,27.4
185.48,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,27.3
185.50,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,26.6
185.52,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,25.0
185.54,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,22.6
185.56,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,19.7
185.58,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,16.7
185.60,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,13.7
185.62,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,11.1
185.64,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,8.9
185.66,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,7.0
185.68,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,5.6
185.70,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,4.4
185.72,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,3.4
185.74,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,2.7
185.76,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,2.2
185.78,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,1.8
185.80,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,1.4
185.82,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,1.2
185.84,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,1.0
185.86,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,0.8
185.88,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,0.7
185.90,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,0.6
185.92,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,0.6
185.94,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,0.5
185.96,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,0.5
185.98,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.00,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.02,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.04,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.06,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.08,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,0.4
186.10,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.12,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.14,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.16,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.18,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.20,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.22,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.24,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.26,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.28,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.30,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.32,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.34,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.36,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.38,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.40,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.42,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.44,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.46,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.48,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.50,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.52,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.54,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.56,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.58,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.60,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.62,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.64,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.66,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.68,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.70,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,0.3
186.72,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,0.8
186.74,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,1.6
186.76,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,2.5
186.78,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,3.6
186.80,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,4.7
186.82,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,5.8
186.84,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,6.8
186.86,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,7.8
186.88,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,8.7
186.90,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,9.6
186.92,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,10.4
186.94,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,11.1
186.96,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,11.8
186.98,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,12.5
187.00,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,13.1
187.02,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,13.7
187.04,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,14.3
187.06,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,14.8
187.08,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,15.4
187.10,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,15.9
187.12,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,16.3
187.14,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,16.8
187.16,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,17.2
187.18,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,17.6
187.20,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,18.0
187.22,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,18.4
187.24,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,18.8
187.26,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,19.1
187.28,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,19.5
187.30,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,19.8
187.32,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,20.1
187.34,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,20.4
187.36,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,20.7
187.38,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,20.9
187.40,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,21.2
187.42,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,21.4
187.44,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,21.7
187.46,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,21.9
187.48,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,22.1
187.50,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,22.3
187.52,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,22.5
187.54,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,22.7
187.56,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,22.9
187.58,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,23.1
187.60,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,23.2
187.62,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,23.4
187.64,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,23.6
187.66,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,23.7
187.68,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,23.8
187.70,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,24.0
187.72,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,24.1
187.74,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,24.2
187.76,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,24.4
187.78,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,24.5
187.80,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,24.6
187.82,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,24.7
187.84,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,24.8
187.86,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,24.9
187.88,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,25.0
187.90,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,25.1
187.92,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,25.2
187.94,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,25.3
187.96,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,25.3
187.98,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,25.4
188.00,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,25.5
188.02,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,25.6
188.04,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,25.7
188.06,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,25.7
188.08,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,25.8
188.10,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,25.9
188.12,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,25.9
188.14,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,26.0
188.16,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,26.0
188.18,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,26.1
188.20,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,26.1
188.22,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,26.2
188.24,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,26.2
188.26,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,26.3
188.28,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,26.3
188.30,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,26.4
188.32,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,26.4
188.34,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,26.5
188.36,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,26.5
188.38,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,26.5
188.40,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,26.6
188.42,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,26.6
188.44,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,26.7
188.46,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,26.7
188.48,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,26.7
188.50,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,26.8
188.52,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,26.8
188.54,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,26.8
188.56,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,26.8
188.58,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,26.9
188.60,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,26.9
188.62,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,26.9
188.64,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,26.9
188.66,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,27.0
188.68,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,27.0
188.70,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,27.0
188.72,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,27.0
188.74,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,27.1
188.76,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,27.1
188.78,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,27.1
188.80,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,27.1
188.82,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,27.1
188.84,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.86,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.88,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.90,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.92,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.94,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.96,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,27.2
188.98,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.00,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.02,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.04,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.06,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.08,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.10,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.12,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.14,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.2,27.4
189.16,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.2,27.4
189.18,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.2,27.4
189.20,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,27.4
189.22,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.2,27.4
189.24,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.2,27.3
189.26,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.2,26.6
189.28,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.2,25.0
189.30,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.2,22.6
189.32,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.2,19.7
189.34,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.2,16.6
189.36,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.2,13.7
189.38,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.2,11.1
189.40,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.2,8.9
189.42,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.2,7.0
189.44,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.2,5.6
189.46,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.2,4.4
189.48,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.2,3.4
189.50,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,2.7
189.52,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.2,2.2
189.54,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.2,1.7
189.56,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.2,1.4
189.58,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.2,1.2
189.60,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.2,1.0
189.62,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.2,0.8
189.64,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.2,0.7
189.66,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.2,0.6
189.68,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.2,0.6
189.70,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.2,0.5
189.72,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.2,0.5
189.74,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.76,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.78,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.80,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.82,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.84,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.2,0.4
189.86,-0.039,73.17,87.4,94.6,113.7,73.0,0.973,15.96,33.2,0.3
189.88,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
189.90,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.2,0.3
189.92,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.2,0.3
189.94,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.2,0.3
